,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
model.MUT1.c,SSDL,57,3,63,18,printf("%s %s %d %s %s %d %d %d %d %d %d\n",57,3,57,4,;,,model_step
model.MUT2.c,SSDL,69,3,71,4,if (rtDW.temporalCounter_i1 < ((uint32_T)(4294967295U))) {,69,3,69,4,;,,model_step
model.MUT3.c,ORRN,69,31,69,32,<,69,31,69,33,!=,<!=,model_step
model.MUT4.c,ORRN,69,31,69,32,<,69,31,69,33,<=,<<=,model_step
model.MUT5.c,ORRN,69,31,69,32,<,69,31,69,33,==,<==,model_step
model.MUT6.c,ORRN,69,31,69,32,<,69,31,69,32,>,<>,model_step
model.MUT7.c,ORRN,69,31,69,32,<,69,31,69,33,>=,<>=,model_step
model.MUT8.c,SSDL,70,5,70,31,rtDW.temporalCounter_i1++,70,5,70,6,;,,model_step
model.MUT9.c,SSDL,73,3,129,4,if (rtDW.is_active_c3_sf_traffic_light_l == 0U) {,73,3,73,4,;,,model_step
model.MUT10.c,ORRN,73,44,73,46,==,73,44,73,46,!=,==!=,model_step
model.MUT11.c,ORRN,73,44,73,46,==,73,44,73,45,<,==<,model_step
model.MUT12.c,ORRN,73,44,73,46,==,73,44,73,46,<=,==<=,model_step
model.MUT13.c,ORRN,73,44,73,46,==,73,44,73,45,>,==>,model_step
model.MUT14.c,ORRN,73,44,73,46,==,73,44,73,46,>=,==>=,model_step
model.MUT15.c,SSDL,73,51,80,4,{,73,51,73,52,{,,model_step
model.MUT16.c,SSDL,74,5,74,47,rtDW.is_active_c3_sf_traffic_light_l = 1U,74,5,74,6,;,,model_step
model.MUT17.c,SSDL,77,5,77,39,rtY.LightMode = LightModeType_Red,77,5,77,6,;,,model_step
model.MUT18.c,SSDL,79,5,79,34,rtDW.temporalCounter_i1 = 0U,79,5,79,6,;,,model_step
model.MUT19.c,SSDL,81,5,128,6,switch (rtY.LightMode) {,81,5,81,6,;,,model_step
